"","id","occult.prob","","","unicode","unicode"
"196","238","0.000409","222250.535797474","8180554.15460419","1.24.4.15","1.24.4.15"
"197","213","0.000407","222346.256747907","8180539.59667102","1.24.4.119","1.24.4.119"
"198","255","0.000404","222072.715482571","8180527.60916215","1.24.4.42","1.24.4.42"
"199","281","0.000404","222148.48210196","8180515.84830121","1.24.4.75","1.24.4.75"
"200","277","4e-04","222130.894832825","8180490.3858432","1.24.4.71","1.24.4.71"
"201","239","0.000396","222240.724761705","8180557.46231498","1.24.4.16","1.24.4.16"
"202","272","0.000395","222116.52766535","8180494.81199122","1.24.4.67","1.24.4.67"
"203","253","0.000393","222082.271189298","8180522.63612497","1.24.4.40","1.24.4.40"
"204","764","0.000389","222780.168818842","8180713.41520157","1.24.5.83","1.24.5.83"
"205","773","0.000388","222859.648011963","8180683.22250547","1.24.5.92","1.24.5.92"
"206","774","0.000388","222875.62313977","8180684.31329232","1.24.5.93","1.24.5.93"
"207","204","0.000387","222309.534031913","8180534.6731597","1.24.4.108","1.24.4.108"
"208","198","0.000381","222290.479867892","8180529.36879781","1.24.4.102","1.24.4.102"
"209","786","0.00038","222942.923600158","8180628.54973654","1.24.6.103","1.24.6.103"
"210","818","0.00038","223072.056044918","8180610.65990969","1.24.6.43","1.24.6.43"
"211","728","0.000377","222825.96542832","8180769.84113144","1.24.5.568","1.24.5.568"
"212","299","0.000375","222843.906773465","8180734.04091118","1.24.5.106","1.24.5.106"
"213","250","0.000372","222095.437342198","8180537.72246355","1.24.4.38","1.24.4.38"
"214","256","0.000372","222061.641717643","8180524.56989182","1.24.4.43","1.24.4.43"
"215","803","0.000372","223104.183373977","8180573.75246632","1.24.6.2","1.24.6.2"
"216","297","0.000369","222816.733623318","8180747.66131065","1.24.5.104","1.24.5.104"
"217","210","0.000366","222362.694667946","8180520.63772659","1.24.4.116","1.24.4.116"
"218","389","0.000361","222899.925149409","8180684.23965232","1.24.5.20","1.24.5.20"
"219","403","0.000358","222534.707552007","8180680.08601262","1.24.5.228","1.24.5.228"
"220","402","0.000356","222530.073585129","8180668.70953497","1.24.5.227","1.24.5.227"
