"","times","ChosenArm","Reward","CumulativeReward","pA","wins.by.A.timeline"
"291",291,2,0,12,0.450166002687522,-1
"292",292,2,0,12,0.450166002687522,-1
"293",293,1,0,12,0.450166002687522,0
"294",294,1,0,12,0.450166002687522,0
"295",295,2,0,12,0.450166002687522,-1
"296",296,2,0,12,0.450166002687522,-1
"297",297,1,0,12,0.450166002687522,0
"298",298,1,0,12,0.450166002687522,0
"299",299,2,0,12,0.450166002687522,-1
"300",300,1,0,12,0.450166002687522,0
"301",301,2,0,12,0.450166002687522,-1
"302",302,2,0,12,0.450166002687522,-1
"303",303,2,0,12,0.450166002687522,-1
"304",304,1,0,12,0.450166002687522,0
"305",305,2,0,12,0.450166002687522,-1
"306",306,1,0,12,0.450166002687522,0
"307",307,2,0,12,0.450166002687522,-1
"308",308,2,0,12,0.450166002687522,-1
"309",309,2,0,12,0.450166002687522,-1
"310",310,2,0,12,0.450166002687522,-1
"311",311,1,0,12,0.450166002687522,0
"312",312,2,0,12,0.450166002687522,-1
"313",313,1,0,12,0.450166002687522,0
"314",314,1,0,12,0.450166002687522,0
"315",315,2,0,12,0.450166002687522,-1
"316",316,2,0,12,0.450166002687522,-1
"317",317,1,0,12,0.450166002687522,0
"318",318,1,0,12,0.450166002687522,0
"319",319,2,0,12,0.450166002687522,-1
"320",320,2,0,12,0.450166002687522,-1
"321",321,1,0,12,0.450166002687522,0
"322",322,1,0,12,0.450166002687522,0
"323",323,1,0,12,0.450166002687522,0
"324",324,2,0,12,0.450166002687522,-1
"325",325,1,0,12,0.450166002687522,0
"326",326,2,0,12,0.450166002687522,-1
"327",327,1,0,12,0.450166002687522,0
"328",328,2,0,12,0.450166002687522,-1
"329",329,1,0,12,0.450166002687522,0
"330",330,1,0,12,0.450166002687522,0
"331",331,1,0,12,0.450166002687522,0
"332",332,1,0,12,0.450166002687522,0
"333",333,1,0,12,0.450166002687522,0
"334",334,1,0,12,0.450166002687522,0
"335",335,1,0,12,0.450166002687522,0
"336",336,2,0,12,0.450166002687522,-1
"337",337,2,0,12,0.450166002687522,-1
"338",338,2,0,12,0.450166002687522,-1
"339",339,2,0,12,0.450166002687522,-1
"340",340,1,0,12,0.450166002687522,0
"341",341,2,0,12,0.450166002687522,-1
"342",342,1,0,12,0.450166002687522,0
"343",343,2,0,12,0.450166002687522,-1
"344",344,1,0,12,0.450166002687522,0
"345",345,2,0,12,0.450166002687522,-1
"346",346,2,0,12,0.450166002687522,-1
"347",347,1,0,12,0.450166002687522,0
"348",348,1,0,12,0.450166002687522,0
"349",349,2,0,12,0.450166002687522,-1
"350",350,2,0,12,0.450166002687522,-1
"351",351,2,0,12,0.450166002687522,-1
"352",352,1,0,12,0.450166002687522,0
"353",353,1,0,12,0.450166002687522,0
"354",354,2,0,12,0.450166002687522,-1
"355",355,1,0,12,0.450166002687522,0
"356",356,1,0,12,0.450166002687522,0
"357",357,2,0,12,0.450166002687522,-1
"358",358,2,0,12,0.450166002687522,-1
