X,Y,UNICODE,P,D,L,V,LATITUDE,LONGITUDE
-71.5897623,-16.447505,1.24.1.148,1,24,1,148,-16.447505000000000,-71.589762300000004
-71.58965556,-16.44751417,1.24.1.149,1,24,1,149,-16.447514170000002,-71.589655559999997
-71.59809321,-16.44744311,1.24.1.15,1,24,1,15,-16.447443109999998,-71.598093210000002
-71.58952917,-16.44751965,1.24.1.150,1,24,1,150,-16.447519650000000,-71.589529170000006
-71.58937365,-16.44755722,1.24.1.151,1,24,1,151,-16.447557220000000,-71.589373649999999
-71.59007236,-16.44776981,1.24.1.152,1,24,1,152,-16.447769810000000,-71.590072359999994
-71.58980886,-16.44774104,1.24.1.153,1,24,1,153,-16.447741040000000,-71.589808860000005
-71.58974577,-16.4477559,1.24.1.154,1,24,1,154,-16.447755900000001,-71.589745769999993
-71.58967091,-16.44775784,1.24.1.155,1,24,1,155,-16.447757840000001,-71.589670909999995
-71.5895858,-16.44777396,1.24.1.156,1,24,1,156,-16.447773959999999,-71.589585799999995
-71.58950533,-16.44778713,1.24.1.157,1,24,1,157,-16.447787129999998,-71.589505329999994
-71.58943689,-16.44778733,1.24.1.158,1,24,1,158,-16.447787330000001,-71.589436890000002
-71.58933453,-16.44781628,1.24.1.159,1,24,1,159,-16.447816280000001,-71.589334530000002
-71.59809588,-16.44703873,1.24.1.16,1,24,1,16,-16.447038729999999,-71.598095880000002
-71.58956012,-16.44804406,1.24.1.160,1,24,1,160,-16.448044060000001,-71.589560120000002
-71.58991574,-16.44826463,1.24.1.161,1,24,1,161,-16.448264630000001,-71.589915739999995
-71.58982001,-16.44845778,1.24.1.162,1,24,1,162,-16.448457779999998,-71.589820009999997
-71.58984499,-16.4485635,1.24.1.163,1,24,1,163,-16.448563499999999,-71.589844990000003
-71.5898759,-16.44863232,1.24.1.164,1,24,1,164,-16.448632320000002,-71.589875899999996
-71.58986881,-16.44875073,1.24.1.165,1,24,1,165,-16.448750730000000,-71.589868809999999
-71.58988272,-16.44879744,1.24.1.166,1,24,1,166,-16.448797440000000,-71.589882720000006
-71.58990658,-16.44887376,1.24.1.167,1,24,1,167,-16.448873760000001,-71.589906580000005
-71.58996438,-16.44896767,1.24.1.168,1,24,1,168,-16.448967669999998,-71.589964379999998
-71.59002858,-16.44892792,1.24.1.169,1,24,1,169,-16.448927919999999,-71.590028579999995
-71.59810202,-16.44666983,1.24.1.17,1,24,1,17,-16.446669830000001,-71.598102019999999
-71.59011145,-16.44890721,1.24.1.170,1,24,1,170,-16.448907210000002,-71.590111449999995
-71.59015961,-16.44889203,1.24.1.171,1,24,1,171,-16.448892030000000,-71.590159610000001
-71.59022411,-16.44886529,1.24.1.172,1,24,1,172,-16.448865290000001,-71.590224109999994
-71.59025996,-16.44884355,1.24.1.173,1,24,1,173,-16.448843549999999,-71.590259959999997
-71.59029739,-16.44882224,1.24.1.174,1,24,1,174,-16.448822239999998,-71.590297390000003
-71.5903471,-16.44880667,1.24.1.175,1,24,1,175,-16.448806670000000,-71.590347100000002
-71.59040618,-16.44878615,1.24.1.176,1,24,1,176,-16.448786150000000,-71.590406180000002
-71.59047647,-16.44877385,1.24.1.177,1,24,1,177,-16.448773849999998,-71.590476469999999
-71.59052763,-16.44874843,1.24.1.178,1,24,1,178,-16.448748429999998,-71.590527629999997
-71.59061448,-16.44871905,1.24.1.179,1,24,1,179,-16.448719050000001,-71.590614479999999
-71.59808635,-16.44652193,1.24.1.18,1,24,1,18,-16.446521929999999,-71.598086350000003
-71.5905701,-16.44864221,1.24.1.180,1,24,1,180,-16.448642209999999,-71.590570099999994
-71.59054257,-16.44858557,1.24.1.181,1,24,1,181,-16.448585569999999,-71.590542569999997
-71.59048163,-16.4485045,1.24.1.182,1,24,1,182,-16.448504499999999,-71.590481629999999
-71.59045416,-16.4484159,1.24.1.183,1,24,1,183,-16.448415900000001,-71.590454159999993
-71.59039724,-16.44829043,1.24.1.184,1,24,1,184,-16.448290430000000,-71.590397240000001
-71.59032737,-16.4482138,1.24.1.185,1,24,1,185,-16.448213800000001,-71.590327369999997
-71.59007199,-16.44828043,1.24.1.186,1,24,1,186,-16.448280430000001,-71.590071989999998
-71.59030095,-16.44814107,1.24.1.187,1,24,1,187,-16.448141069999998,-71.590300950000000
-71.59057782,-16.44823555,1.24.1.188,1,24,1,188,-16.448235550000000,-71.590577819999993
-71.59062337,-16.44829329,1.24.1.189,1,24,1,189,-16.448293289999999,-71.590623370000003
-71.59820779,-16.4464721,1.24.1.19,1,24,1,19,-16.446472100000001,-71.598207790000004
-71.59064165,-16.44840941,1.24.1.190,1,24,1,190,-16.448409410000000,-71.590641649999995
-71.59069555,-16.44851198,1.24.1.191,1,24,1,191,-16.448511979999999,-71.590695550000007
-71.5907628,-16.4486216,1.24.1.192,1,24,1,192,-16.448621599999999,-71.590762799999993
-71.59084775,-16.44861453,1.24.1.193,1,24,1,193,-16.448614530000000,-71.590847749999995
-71.59091904,-16.44858718,1.24.1.194,1,24,1,194,-16.448587180000001,-71.590919040000003
