X,Y,UNICODE,P,D,L,V,LATITUDE,LONGITUDE
-71.59427431,-16.44325966,1.24.2.22,1,24,2,22,-16.443259659999999,-71.594274310000003
-71.59463881,-16.44354308,1.24.2.23,1,24,2,23,-16.443543080000001,-71.594638810000006
-71.59474196,-16.44361424,1.24.2.24,1,24,2,24,-16.443614239999999,-71.594741959999993
-71.59497923,-16.443677,1.24.2.25,1,24,2,25,-16.443677000000001,-71.594979230000007
-71.59515994,-16.44366435,1.24.2.26,1,24,2,26,-16.443664349999999,-71.595159940000002
-71.59528048,-16.44368828,1.24.2.27,1,24,2,27,-16.443688280000000,-71.595280480000000
-71.59525984,-16.44349758,1.24.2.28,1,24,2,28,-16.443497579999999,-71.595259839999997
-71.59515906,-16.44333817,1.24.2.29,1,24,2,29,-16.443338170000001,-71.595159060000000
-71.59260055,-16.44091019,1.24.2.3,1,24,2,3,-16.440910190000000,-71.592600550000000
-71.59527171,-16.4433361,1.24.2.30,1,24,2,30,-16.443336100000000,-71.595271710000006
-71.59540902,-16.4432753,1.24.2.31,1,24,2,31,-16.443275300000000,-71.595409020000005
-71.59545743,-16.44316991,1.24.2.32,1,24,2,32,-16.443169910000002,-71.595457429999996
-71.5953422,-16.44310663,1.24.2.33,1,24,2,33,-16.443106629999999,-71.595342200000005
-71.59556373,-16.4432555,1.24.2.34,1,24,2,34,-16.443255499999999,-71.595563729999995
-71.59546373,-16.44339536,1.24.2.35,1,24,2,35,-16.443395360000000,-71.595463730000006
-71.59548754,-16.44350031,1.24.2.36,1,24,2,36,-16.443500310000001,-71.595487539999993
-71.5955099,-16.44360385,1.24.2.37,1,24,2,37,-16.443603849999999,-71.595509899999996
-71.59565863,-16.44351673,1.24.2.38,1,24,2,38,-16.443516729999999,-71.595658630000003
-71.59578214,-16.44344446,1.24.2.39,1,24,2,39,-16.443444459999998,-71.595782139999997
-71.59260559,-16.44102309,1.24.2.4,1,24,2,4,-16.441023090000002,-71.592605590000005
-71.59571003,-16.44334681,1.24.2.40,1,24,2,40,-16.443346810000001,-71.595710030000006
-71.5956494,-16.4432995,1.24.2.41,1,24,2,41,-16.443299499999998,-71.595649399999999
-71.59591676,-16.44329202,1.24.2.42,1,24,2,42,-16.443292020000001,-71.595916759999994
-71.59579851,-16.44322142,1.24.2.43,1,24,2,43,-16.443221420000000,-71.595798509999995
-71.5956941,-16.44314807,1.24.2.44,1,24,2,44,-16.443148069999999,-71.595694100000003
-71.59552289,-16.44298002,1.24.2.45,1,24,2,45,-16.442980020000000,-71.595522889999998
-71.59542788,-16.44290505,1.24.2.46,1,24,2,46,-16.442905050000000,-71.595427880000003
-71.59532999,-16.4428175,1.24.2.47,1,24,2,47,-16.442817500000000,-71.595329989999996
-71.59527219,-16.44273212,1.24.2.48,1,24,2,48,-16.442732119999999,-71.595272190000003
-71.59545487,-16.44262424,1.24.2.49,1,24,2,49,-16.442624240000001,-71.595454869999998
-71.59264713,-16.44111949,1.24.2.5,1,24,2,5,-16.441119489999998,-71.592647130000003
-71.59553607,-16.44269747,1.24.2.50,1,24,2,50,-16.442697469999999,-71.595536069999994
-71.59557918,-16.44275202,1.24.2.51,1,24,2,51,-16.442752020000000,-71.595579180000001
-71.59566881,-16.4428033,1.24.2.52,1,24,2,52,-16.442803300000001,-71.595668810000006
-71.59582021,-16.44268031,1.24.2.53,1,24,2,53,-16.442680310000000,-71.595820209999999
-71.59574868,-16.4426106,1.24.2.54,1,24,2,54,-16.442610599999998,-71.595748680000000
-71.59575457,-16.44290237,1.24.2.55,1,24,2,55,-16.442902369999999,-71.595754569999997
-71.59585229,-16.44301431,1.24.2.56,1,24,2,56,-16.443014309999999,-71.595852289999996
-71.59597501,-16.44313797,1.24.2.57,1,24,2,57,-16.443137969999999,-71.595975010000004
-71.59609065,-16.44297843,1.24.2.58,1,24,2,58,-16.442978430000000,-71.596090649999994
-71.59603354,-16.44288415,1.24.2.59,1,24,2,59,-16.442884150000001,-71.596033539999993
-71.5926745,-16.44121114,1.24.2.6,1,24,2,6,-16.441211140000000,-71.592674500000001
