"lon","lat","X","Y","polygon","unicode","prov","dist","loc","viv","loc_num","block","uniblock"
-71.5938736385303,-16.4473972646291,223023.356456,8179798.981264,3,"1.24.1.86",1,24,"1","86",1,"4","1.24.1.4"
-71.5937384628343,-16.4474178993239,223037.828306,8179796.881943,3,"1.24.1.87",1,24,"1","87",1,"4","1.24.1.4"
-71.5937436621472,-16.447305656997,223037.113406,8179809.301722,3,"1.24.1.88",1,24,"1","88",1,"4","1.24.1.4"
-71.5936738210172,-16.4473006209749,223044.568279,8179809.954993,3,"1.24.1.89",1,24,"1","89",1,"4","1.24.1.4"
-71.5936115714019,-16.4473057843519,223051.226535,8179809.468633,3,"1.24.1.90",1,24,"1","90",1,"4","1.24.1.4"
-71.5935534215149,-16.4473038277614,223057.436654,8179809.764939,3,"1.24.1.91",1,24,"1","91",1,"4","1.24.1.4"
-71.593478344066,-16.4473264998141,223065.490332,8179807.35768,3,"1.24.1.92",1,24,"1","92",1,"4","1.24.1.4"
-71.5933777017244,-16.4473450771842,223076.269617,8179805.43879,3,"1.24.1.93",1,24,"1","93",1,"4","1.24.1.4"
-71.5932677183596,-16.4473523799349,223088.030913,8179804.780962,3,"1.24.1.94",1,24,"1","94",1,"4","1.24.1.4"
-71.593181972687,-16.4473792328768,223097.230342,8179801.925422,3,"1.24.1.95",1,24,"1","95",1,"4","1.24.1.4"
-71.5930190532656,-16.4474139829868,223114.686432,8179798.301275,3,"1.24.1.96",1,24,"1","96",1,"4","1.24.1.4"
-71.5930997173778,-16.4475096998719,223106.203949,8179787.593476,3,"1.24.1.97",1,24,"1","97",1,"4","1.24.1.4"
-71.5934240769437,-16.4475996568176,223071.676235,8179777.189479,3,"1.24.1.98",1,24,"1","98",1,"4","1.24.1.4"
-71.5950116415853,-16.4461956903289,222900.061917,8179930.453687,4,"1.24.1.100",1,24,"1","100",1,"5","1.24.1.5"
-71.5950041570634,-16.4462798590686,222900.981164,8179921.145202,4,"1.24.1.101",1,24,"1","101",1,"5","1.24.1.5"
-71.5950171063677,-16.4464252049157,222899.804104,8179905.035477,4,"1.24.1.102",1,24,"1","102",1,"5","1.24.1.5"
-71.5950153405541,-16.4465394012476,222900.155005,8179892.394646,4,"1.24.1.103",1,24,"1","103",1,"5","1.24.1.5"
-71.5950813912469,-16.4466493059937,222893.254073,8179880.13598,4,"1.24.1.104",1,24,"1","104",1,"5","1.24.1.5"
-71.5949485481921,-16.4467126540861,222907.537456,8179873.304522,4,"1.24.1.105",1,24,"1","105",1,"5","1.24.1.5"
-71.5948367194562,-16.4468008710516,222919.610921,8179863.69089,4,"1.24.1.106",1,24,"1","106",1,"5","1.24.1.5"
-71.5945534034821,-16.4468854296255,222950.001409,8179854.717371,4,"1.24.1.107",1,24,"1","107",1,"5","1.24.1.5"
-71.5944180146302,-16.4468877350004,222964.470049,8179854.647715,4,"1.24.1.108",1,24,"1","108",1,"5","1.24.1.5"
-71.5943126063231,-16.4469269407403,222975.787885,8179850.451533,4,"1.24.1.108A",1,24,"1","108A",1,"5","1.24.1.5"
-71.5941890633867,-16.4469456871481,222989.014216,8179848.545356,4,"1.24.1.108B",1,24,"1","108B",1,"5","1.24.1.5"
-71.5940735760666,-16.4469361233052,223001.33965,8179849.762499,4,"1.24.1.108C",1,24,"1","108C",1,"5","1.24.1.5"
-71.5938259745168,-16.446689298296,223027.443648,8179877.42905,4,"1.24.1.109",1,24,"1","109",1,"5","1.24.1.5"
-71.5938320462155,-16.4468367625596,223027.004336,8179861.09423,4,"1.24.1.110",1,24,"1","110",1,"5","1.24.1.5"
-71.5938737685356,-16.4470462418011,223022.844074,8179837.844566,4,"1.24.1.111",1,24,"1","111",1,"5","1.24.1.5"
-71.5936645263589,-16.4470415788015,223045.193507,8179838.647571,4,"1.24.1.112",1,24,"1","112",1,"5","1.24.1.5"
-71.5934272285688,-16.4470824555398,223070.605143,8179834.447066,4,"1.24.1.113",1,24,"1","113",1,"5","1.24.1.5"
-71.5931067396186,-16.4471531344097,223104.947458,8179827.060968,4,"1.24.1.114",1,24,"1","114",1,"5","1.24.1.5"
-71.593010477509,-16.4471640842064,223115.247921,8179825.980543,4,"1.24.1.115",1,24,"1","115",1,"5","1.24.1.5"
-71.5929391688633,-16.4472136293451,223122.937074,8179820.592849,4,"1.24.1.115A",1,24,"1","115A",1,"5","1.24.1.5"
-71.5928360439863,-16.4472183238432,223133.96189,8179820.214371,4,"1.24.1.116",1,24,"1","116",1,"5","1.24.1.5"
-71.5927114140661,-16.4470345135672,223147.016787,8179840.73563,4,"1.24.1.117",1,24,"1","117",1,"5","1.24.1.5"
-71.5952387900902,-16.446740537925,222876.566688,8179869.819423,4,"1.24.1.99",1,24,"1","99",1,"5","1.24.1.5"
-71.5926277553206,-16.4443396011494,223152.130236,8180139.21708,5,"1.24.1.118",1,24,"1","118",1,"6","1.24.1.6"
-71.5925332661081,-16.4430269327236,223160.363093,8180284.67836,5,"1.24.1.119",1,24,"1","119",1,"6","1.24.1.6"
-71.5928585528516,-16.4425425916024,223124.92043,8180337.856632,5,"1.24.1.120",1,24,"1","120",1,"6","1.24.1.6"
-71.5921448991196,-16.4433285345412,223202.286113,8180251.818374,6,"1.24.1.121",1,24,"1","121",1,"7","1.24.1.7"
-71.5922081013516,-16.4436017225748,223195.920899,8180221.485872,6,"1.24.1.122",1,24,"1","122",1,"7","1.24.1.7"
