X,Y,UNICODE,P,D,L,V,LATITUDE,LONGITUDE
-71.60046726,-16.43194764,1.24.10.146,1,24,10,146,-16.431947640000001,-71.600467260000002
-71.6004402,-16.43200803,1.24.10.147,1,24,10,147,-16.432008029999999,-71.600440199999994
-71.60042202,-16.43206723,1.24.10.148,1,24,10,148,-16.432067230000001,-71.600422019999996
-71.60039096,-16.43213787,1.24.10.149,1,24,10,149,-16.432137869999998,-71.600390959999999
-71.5988583,-16.43365851,1.24.10.15,1,24,10,15,-16.433658510000001,-71.598858300000003
-71.60036573,-16.43219741,1.24.10.150,1,24,10,150,-16.432197410000001,-71.600365729999993
-71.6003504,-16.43223963,1.24.10.151,1,24,10,151,-16.432239630000002,-71.600350399999996
-71.60050108,-16.43224431,1.24.10.152,1,24,10,152,-16.432244310000002,-71.600501080000001
-71.60055429,-16.43228319,1.24.10.153,1,24,10,153,-16.432283190000000,-71.600554290000005
-71.6006151,-16.43231956,1.24.10.154,1,24,10,154,-16.432319560000000,-71.600615099999999
-71.60066366,-16.43235494,1.24.10.155,1,24,10,155,-16.432354940000000,-71.600663659999995
-71.60072217,-16.43240543,1.24.10.156,1,24,10,156,-16.432405429999999,-71.600722169999997
-71.60077864,-16.43245349,1.24.10.157,1,24,10,157,-16.432453490000000,-71.600778640000001
-71.60084141,-16.4325014,1.24.10.158,1,24,10,158,-16.432501400000000,-71.600841410000001
-71.60084785,-16.43276813,1.24.10.159,1,24,10,159,-16.432768129999999,-71.600847849999994
-71.59896021,-16.43368153,1.24.10.16,1,24,10,16,-16.433681530000001,-71.598960210000001
-71.60075185,-16.43272064,1.24.10.160,1,24,10,160,-16.432720639999999,-71.600751849999995
-71.60068458,-16.43267703,1.24.10.161,1,24,10,161,-16.432677030000001,-71.600684580000006
-71.60062025,-16.43264361,1.24.10.162,1,24,10,162,-16.432643610000000,-71.600620250000006
-71.60055501,-16.43260476,1.24.10.163,1,24,10,163,-16.432604760000000,-71.600555009999994
-71.60050428,-16.4325622,1.24.10.164,1,24,10,164,-16.432562200000000,-71.600504279999996
-71.60044254,-16.43251999,1.24.10.165,1,24,10,165,-16.432519989999999,-71.600442540000003
-71.60039292,-16.4324863,1.24.10.166,1,24,10,166,-16.432486300000001,-71.600392920000004
-71.60036712,-16.43262172,1.24.10.167,1,24,10,167,-16.432621720000000,-71.600367120000001
-71.60019239,-16.43262745,1.24.10.168,1,24,10,168,-16.432627449999998,-71.600192390000004
-71.60008824,-16.43253582,1.24.10.169,1,24,10,169,-16.432535819999998,-71.600088240000005
-71.59900276,-16.43355801,1.24.10.17,1,24,10,17,-16.433558009999999,-71.599002760000005
-71.60001508,-16.43260605,1.24.10.170,1,24,10,170,-16.432606050000000,-71.600015080000006
-71.59996352,-16.43265143,1.24.10.171,1,24,10,171,-16.432651430000000,-71.599963520000003
-71.59987599,-16.43281878,1.24.10.172,1,24,10,172,-16.432818780000002,-71.599875990000001
-71.60004106,-16.43303206,1.24.10.173,1,24,10,173,-16.433032059999999,-71.600041059999995
-71.59935172,-16.43352788,1.24.10.174,1,24,10,174,-16.433527880000000,-71.599351720000001
