"Ranking","occult.prob","X","Y","unicode"
"38","0","222386.720536963","8180469.05221762","1.24.3.168A"
"39","0","222324.696048134","8180307.14738701","1.24.3.20"
"40","0","222308.855221578","8180298.73775098","1.24.3.21"
"41","0","222294.83059704","8180319.01147186","1.24.3.22"
"42","0","222270.872053462","8180304.17390031","1.24.3.25"
"43","0","222263.217429161","8180332.46973312","1.24.3.26"
"44","0","222282.288262047","8180333.94316805","1.24.3.27"
"45","0","222302.223945336","8180335.20911195","1.24.3.28"
"46","0","222293.65124096","8180351.0447144","1.24.3.29"
"47","0","222273.161919929","8180354.07219412","1.24.3.30"
"48","0","222252.906272644","8180378.64100621","1.24.3.33"
"49","0","222259.892515356","8180383.46431135","1.24.3.34"
"50","0","222407.957584185","8180385.48452055","1.24.3.7"
"51","0","222397.270303474","8180385.21516958","1.24.3.7A"
"52","0","222396.662363177","8180378.62053936","1.24.3.8"
"53","0","221957.958892779","8180316.40488271","1.24.3.89"
"54","0","222387.490845552","8180371.41667297","1.24.3.8A"
"55","0","222397.205822787","8180352.80795743","1.24.3.9"
"56","0","221941.251436345","8180313.88196109","1.24.3.90"
"57","0","221941.21530452","8180317.03949372","1.24.3.90A"
"58","0","221938.74999308","8180324.1336953","1.24.3.91"
"59","0","221937.756484577","8180332.60585203","1.24.3.92"
"60","0","221948.283839175","8180363.30865432","1.24.3.96"
"61","0","222347.546878068","8180490.79558724","1.24.4.112"
"62","0","222351.477259074","8180489.66640558","1.24.4.112A"
"63","0","222357.916176131","8180491.30718672","1.24.4.113"
"64","0","222366.580297325","8180497.65421495","1.24.4.114"
"65","0","222374.357767015","8180490.88173808","1.24.4.115"
"66","0","222381.30182325","8180498.88116438","1.24.4.115A"
"67","0","222059.058651052","8180469.9742101","1.24.4.50"
"68","0","222066.280010244","8180469.79336441","1.24.4.51"
"69","0","222082.206889146","8180468.06243333","1.24.4.59"
"70","0","222168.27099513","8180493.58925963","1.24.4.79"
"71","0","222164.968342959","8180505.30663172","1.24.4.80"
"72","0","222165.097036486","8180514.06513354","1.24.4.81"
"73","0","222196.002821187","8180524.27923082","1.24.4.84"
"74","0","222196.131557677","8180515.56060964","1.24.4.85"
"75","0","222198.325572949","8180501.70890368","1.24.4.86"
"76","0","222235.903129176","8180500.46881406","1.24.4.87"
"77","0","222236.196927296","8180509.31813765","1.24.4.88"
"78","0","222235.983017962","8180516.81573377","1.24.4.89"
"79","0","222235.148315886","8180523.89610478","1.24.4.90"
"80","0","222246.18957373","8180519.8648692","1.24.4.93"
"81","0","222248.718806343","8180512.58281975","1.24.4.94"
"82","0","222249.851257714","8180503.32459018","1.24.4.95"
"83","0","222249.703506324","8180492.01067881","1.24.4.96"
"84","0","222331.250929826","8179858.2600926","1.24.1.1"
"85","0","222507.512051457","8179801.00217806","1.24.1.10"
"86","0","222900.061916575","8179930.4536869","1.24.1.100"
"87","0","222900.981163819","8179921.14520243","1.24.1.101"
"88","0","222899.804103547","8179905.03547735","1.24.1.102"
"89","0","222900.155005463","8179892.39464627","1.24.1.103"
"90","0","222893.254073475","8179880.13597991","1.24.1.104"
"91","0","222907.537456492","8179873.30452248","1.24.1.105"
"92","0","222919.61092135","8179863.69088983","1.24.1.106"
"93","0","222950.001409384","8179854.71737056","1.24.1.107"
"94","0","222964.470049475","8179854.64771493","1.24.1.108"
"95","0","222975.787884516","8179850.45153307","1.24.1.108A"
