"","id_manz","P","D","L","X","Y","1_FR_A","2_FR_A","YearLastAFII","ageAP","nbSpray","nbSprayI","nbSprayII","nbPos","DenH","InspH","PosInspH","RocH","PosRocH","Total","nbDen","nbInsp","nbInspProg","nbInspPos","nbRoc","nbRocProg","nbRocPos","IIspray","Unspray","ManzPos2012","ManzPosPre2012","ManzVigPre2012","NextManzPosPre2012","codeLoc","focus","Den1"
"7540","625-7","1","7","42",226266.730462846,8179335.94729262,NA,NA,5,7,12,8,11,2,0,0,0,0,0,13,0,0,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7544","626-13","1","13","83",232508.581745706,8182394.782324,8,9,9,3,14,14,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,9,3,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7545","626-25","1","25","26",232540.491193667,8176879.95676628,6,7,7,5,11,9,11,1,0,0,0,0,0,18,0,0,0,0,0,0,0,7,7,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7547","626-7","1","7","42",226382.712053833,8179338.6566845,NA,5,5,7,5,5,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7548","62-7","1","7","8",226259.604305,8179801.909814,3,4,4,8,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,"1.7.8",TRUE,FALSE
"7552","627-13","1","13","83",232584.598120857,8182474.567887,NA,9,9,3,12,7,8,3,0,0,0,0,0,14,0,0,0,0,0,0,0,9,2,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7553","627-25","1","25","26",232613.066932583,8176931.51748858,6,7,7,5,7,7,7,1,0,0,0,0,0,12,0,0,0,0,0,0,0,7,5,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7555","627-7","1","7","42",226404.194419769,8179307.23540008,NA,5,5,7,13,9,13,5,2,6,2,9,3,13,2,9,14,2,10,10,3,5,0,FALSE,TRUE,TRUE,TRUE,"1.7.42",TRUE,TRUE
"7556","62-8","1","8","6",231462.41571125,8179919.16644917,7,7.16666666666667,8,4,10,7,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7.16666666666667,2,FALSE,FALSE,FALSE,FALSE,"1.8.6",TRUE,FALSE
"7560","628-13","1","13","83",232561.011219214,8182520.58573743,8,9,9,3,12,11,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,9,2,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
