"","UNICODE","NRO_DENUNCIA","D","L","X","Y","id_manz","rocFAstatus","infFAstatus","INSP_POSITIVA","INSP_COMPLETA","DIA_INSP","MES_INSP","ANIO_INSP","infestedRV","complete","DIA_ROC","MES_ROC","ANIO_ROC","VisitVig","PosVig","PosVigNegFA","PosVigNoFA","PosVigPosFA","YearLastAFII","ageAP","TYPO_DENUNCIA","FECHA_ROC","FECHA_INSP","FECHA_VISIT","ANIO_VISIT","firstControl","firstControlBlock","DateFirstSpray","histTreat","TimeSinceFirst","codeLoc","focus"
"336","1.13.9.321",280,13,"9",233935.607522,8181299.920599,"1083-13",0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,3,1,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"337","1.13.9.322",280,13,"9",233925.774096,8181299.753345,"1083-13",0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,3,1,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"338","1.13.9.323",280,13,"9",233915.71176,8181299.149851,"1083-13",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,3,1,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"340","1.13.9.324",418,13,"9",233989.840771,8181273.436525,"1084-13",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,4,1,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"341","1.13.9.325",418,13,"9",234003.853502,8181254.538232,"1084-13",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,4,1,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.13.9",TRUE
"591","1.18.4.263",58,18,"4",224468.05472,8180383.198431,"109-18",2,1,0,1,22,5,2009,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,1,NA,2009-05-22,2009-05-22,2009,FALSE,TRUE,2009-07-01,1,-40,"1.18.4",TRUE
"593","1.18.4.264",58,18,"4",224477.891641,8180387.361292,"109-18",2,1,0,1,22,5,2009,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,1,NA,2009-05-22,2009-05-22,2009,FALSE,TRUE,2009-07-01,1,-40,"1.18.4",TRUE
"595","1.18.4.265",58,18,"4",224492.145338,8180391.405138,"109-18",2,1,0,1,22,5,2009,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,1,NA,2009-05-22,2009-05-22,2009,FALSE,TRUE,2009-07-01,1,-40,"1.18.4",TRUE
"594","1.18.4.264",76,18,"4",224477.891641,8180387.361292,"109-18",2,1,0,0,0,0,0,1,1,1,7,2009,TRUE,TRUE,FALSE,FALSE,TRUE,5,4,4,2009-07-01,NA,2009-07-01,2009,TRUE,TRUE,2009-07-01,0,0,"1.18.4",TRUE
"596","1.18.4.265",76,18,"4",224492.145338,8180391.405138,"109-18",2,1,0,0,0,0,0,0,1,1,7,2009,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,2009-07-01,NA,2009-07-01,2009,TRUE,TRUE,2009-07-01,0,0,"1.18.4",TRUE
