"dist","loc","lon","lat","polygon","unicode","prov","viv","loc_num","block","uniblock","X","Y","clusterID","add.house"
24,"1",-71.598267663817,-16.446046253737,2,"1.24.1.26",1,"26",1,3,"1.24.1.3",222551.964087095,8179942.53186575,1,0
24,"1",-71.5981500747664,-16.4462348538638,2,"1.24.1.27",1,"27",1,3,"1.24.1.3",222564.796011663,8179921.81236067,1,0
24,"1",-71.5981231973696,-16.4461079884471,2,"1.24.1.28",1,"28",1,3,"1.24.1.3",222567.487244545,8179935.89519267,1,0
24,"1",-71.5980358425481,-16.4458188792519,2,"1.24.1.29",1,"29",1,3,"1.24.1.3",222576.409366347,8179968.02389634,1,0
24,"1",-71.5980236236105,-16.4459332029672,2,"1.24.1.30",1,"30",1,3,"1.24.1.3",222577.877486252,8179955.38328726,1,0
24,"1",-71.5980415636807,-16.446296638778,2,"1.24.1.31",1,"31",1,3,"1.24.1.3",222576.477618067,8179915.1207711,1,0
24,"1",-71.5979534784937,-16.4463303661335,2,"1.24.1.32",1,"32",1,3,"1.24.1.3",222585.936933406,8179911.5075408,1,0
24,"1",-71.5977191973153,-16.4463322020896,2,"1.24.1.33",1,"33",1,3,"1.24.1.3",222610.971000897,8179911.62581926,1,0
24,"1",-71.5977244455288,-16.4461522383015,2,"1.24.1.34",1,"34",1,3,"1.24.1.3",222610.154327675,8179931.5433511,1,0
24,"1",-71.5976580773046,-16.4459851176925,2,"1.24.1.35",1,"35",1,3,"1.24.1.3",222617.007695313,8179950.13723217,1,0
24,"1",-71.5975339935613,-16.4460106582563,2,"1.24.1.36",1,"36",1,3,"1.24.1.3",222630.301596125,8179947.47978662,1,0
24,"1",-71.5975637637036,-16.4461328618588,2,"1.24.1.37",1,"37",1,3,"1.24.1.3",222627.294619775,8179933.9091329,1,0
24,"1",-71.5976160696977,-16.4463183263261,2,"1.24.1.38",1,"38",1,3,"1.24.1.3",222621.969798095,8179913.30360932,1,0
24,"1",-71.5975683253467,-16.4463254040274,2,"1.24.1.39",1,"39",1,3,"1.24.1.3",222627.08104333,8179912.58552204,1,0
24,"1",-71.5974914355889,-16.4463349492977,2,"1.24.1.40",1,"40",1,3,"1.24.1.3",222635.309797937,8179911.63423259,1,0
24,"1",-71.5974310225838,-16.4463340406328,2,"1.24.1.41",1,"41",1,3,"1.24.1.3",222641.763250089,8179911.81773943,1,0
24,"1",-71.5973636992753,-16.4463445039114,2,"1.24.1.42",1,"42",1,3,"1.24.1.3",222648.971194257,8179910.75167967,1,0
24,"1",-71.5973119412981,-16.4463514763704,2,"1.24.1.43",1,"43",1,3,"1.24.1.3",222654.511117614,8179910.05074567,1,0
24,"1",-71.5972206080437,-16.4463585500011,2,"1.24.1.44",1,"44",1,3,"1.24.1.3",222664.279549053,8179909.39291302,1,0
24,"1",-71.5971219202184,-16.4463735992849,2,"1.24.1.45",1,"45",1,3,"1.24.1.3",222674.845107879,8179907.86214128,1,0
24,"1",-71.5970736044835,-16.446379013145,2,"1.24.1.45A",1,"45A",1,3,"1.24.1.3",222680.015031134,8179907.32903843,1,0
24,"1",-71.5969849638193,-16.4463916016685,2,"1.24.1.46",1,"46",1,3,"1.24.1.3",222689.503613623,8179906.05691782,1,0
24,"1",-71.5968497182019,-16.4464038564298,2,"1.24.1.47",1,"47",1,3,"1.24.1.3",222703.971158094,8179904.88568669,1,0
24,"1",-71.5966976266384,-16.4464405219689,2,"1.24.1.48",1,"48",1,3,"1.24.1.3",222720.273282016,8179901.0349135,1,0
24,"1",-71.5966482108181,-16.4462827589864,2,"1.24.1.49",1,"49",1,3,"1.24.1.3",222725.328771071,8179918.56946036,1,0
24,"1",-71.5963802038388,-16.4465497184222,2,"1.24.1.50",1,"50",1,3,"1.24.1.3",222754.343059357,8179889.38065376,1,0
24,"1",-71.5962522403676,-16.4465507770816,2,"1.24.1.51",1,"51",1,3,"1.24.1.3",222768.016619249,8179889.43897074,1,0
24,"1",-71.5976611994076,-16.4465488778725,3,"1.24.1.52",1,"52",1,4,"1.24.1.4",222617.475849375,8179887.7161045,1,0
24,"1",-71.5974628445211,-16.446549821835,3,"1.24.1.53",1,"53",1,4,"1.24.1.4",222638.67012431,8179887.88380644,1,0
