COD_VIV,unicode,FECHA,ESTADO,otro
198,1.10.36.198,2/17/11,1,
199,1.10.36.199,2/22/11,1,
2,1.10.36.2,2/2/11,1,
20,1.10.36.20,2/3/11,1,21
200,1.10.36.200,2/17/11,1,
201,1.10.36.201,2/17/11,1,
202,1.10.36.202,2/18/11,1,
203,1.10.36.203,2/18/11,1,
205,1.10.36.205,2/18/11,1,
206,1.10.36.206,2/18/11,1,
207,1.10.36.207,2/18/11,1,
210,1.10.36.210,2/18/11,1,
211,1.10.36.211,2/22/11,1,
212,1.10.36.212,2/22/11,1,
213,1.10.36.213,2/17/11,1,
214,1.10.36.214,2/17/11,1,
215,1.10.36.215,2/18/11,1,
216,1.10.36.216,2/18/11,1,
217,1.10.36.217,2/23/11,1,
218,1.10.36.218,2/18/11,1,
219,1.10.36.219,2/16/11,1,
22,1.10.36.22,2/3/11,1,23
220,1.10.36.220,2/17/11,1,
220,1.10.36.220A,2/17/11,1,
221,1.10.36.221,2/22/11,1,
222,1.10.36.222,2/24/11,1,
223,1.10.36.223,2/22/11,1,224
225,1.10.36.225,2/24/11,1,
226,1.10.36.226,2/17/11,1,
227,1.10.36.227,2/24/11,1,
228,1.10.36.228,2/15/11,1,229
230,1.10.36.230,2/23/11,1,
231,1.10.36.231,2/23/11,1,
232,1.10.36.232,2/23/11,1,
235,1.10.36.235,2/17/11,1,
236,1.10.36.236,2/22/11,1,
237,1.10.36.237,2/22/11,1,
237,1.10.36.237A,2/22/11,1,
238,1.10.36.238,2/23/11,1,
239,1.10.36.239,2/23/11,1,
24,1.10.36.24,2/2/11,1,25
241,1.10.36.241,2/23/11,1,
243,1.10.36.243,2/23/11,1,
244,1.10.36.244,2/23/11,1,
245,1.10.36.245,2/24/11,1,
246,1.10.36.246,2/23/11,1,
247,1.10.36.247,2/22/11,1,248 249
250,1.10.36.250,2/22/11,1,
252,1.10.36.252,2/22/11,1,
254,1.10.36.254,2/22/11,1,
255,1.10.36.255,2/23/11,1,
256,1.10.36.256,2/23/11,1,
257,1.10.36.257,2/23/11,1,
258,1.10.36.258,2/24/11,1,
26,1.10.36.26,2/1/11,1,
260,1.10.36.260,2/16/11,1,
261,1.10.36.261,2/16/11,1,
261,1.10.36.261A,2/16/11,1,
262,1.10.36.262,2/23/11,1,
263,1.10.36.263,2/24/11,1,
267,1.10.36.267,2/24/11,1,
268,1.10.36.268,2/23/11,1,
269,1.10.36.269,2/24/11,1,
27,1.10.36.27,2/1/11,1,
270,1.10.36.270,2/24/11,1,
271,1.10.36.271,2/24/11,1,
272,1.10.36.272,2/24/11,1,
277,1.10.36.277,2/24/11,1,
278,1.10.36.278,2/25/11,1,
279,1.10.36.279,2/17/11,1,280
28,1.10.36.28,2/1/11,1,
283,1.10.36.283,2/23/11,1,
285,1.10.36.285,2/24/11,1,
287,1.10.36.287,2/22/11,1,
29,1.10.36.29,2/1/11,1,
292,1.10.36.292,2/25/11,1,
293,1.10.36.293,2/25/11,1,
294,1.10.36.294,2/25/11,1,
295,1.10.36.295,2/25/11,1,
296,1.10.36.296,2/25/11,1,
298,1.10.36.298,2/25/11,1,
3,1.10.36.3,2/1/11,1,
30,1.10.36.30,2/2/11,1,
300,1.10.36.300,2/28/11,1,
301,1.10.36.301,3/1/11,1,
302,1.10.36.302,2/28/11,1,
303,1.10.36.303,2/28/11,1,
304,1.10.36.304,2/28/11,1,
305,1.10.36.305,3/1/11,1,
306,1.10.36.306,2/25/11,1,
308,1.10.36.308,2/25/11,1,
309,1.10.36.309,3/1/11,1,
311,1.10.36.311,2/25/11,1,
312,1.10.36.312,2/25/11,1,
314,1.10.36.314,2/25/11,1,
315,1.10.36.315,2/25/11,1,
316,1.10.36.316,2/25/11,1,
317,1.10.36.317,2/25/11,1,
318,1.10.36.318,3/1/11,1,
32,1.10.36.32,2/1/11,1,
320,1.10.36.320,3/1/11,1,
321,1.10.36.321,2/25/11,1,
322,1.10.36.322,2/25/11,1,
325,1.10.36.325,2/25/11,1,
326,1.10.36.326,2/28/11,1,
327,1.10.36.327,2/28/11,1,
328,1.10.36.328,2/28/11,1,
33,1.10.36.33,2/3/11,1,
331,1.10.36.331,3/1/11,1,
333,1.10.36.333,3/1/11,1,
334,1.10.36.334,2/28/11,1,
338,1.10.36.338,3/2/11,1,
340,1.10.36.340A,3/2/11,1,
340,1.10.36.340B,3/1/11,1,
341,1.10.36.341,2/28/11,1,
342,1.10.36.342,2/28/11,1,
343,1.10.36.343,2/28/11,1,
344,1.10.36.344,2/28/11,1,
345,1.10.36.345,2/28/11,1,
346,1.10.36.346,3/3/11,1,
347,1.10.36.347,3/2/11,1,
348,1.10.36.348,2/28/11,1,
349,1.10.36.349,2/28/11,1,
35,1.10.36.35,2/1/11,1,
352,1.10.36.352,2/28/11,1,
353,1.10.36.353,2/28/11,1,
354,1.10.36.354,2/28/11,1,
355,1.10.36.355,3/1/11,1,
357,1.10.36.357,3/1/11,1,
359,1.10.36.359,3/2/11,1,
361,1.10.36.361,3/1/11,1,
362,1.10.36.362,2/28/11,1,
363,1.10.36.363,3/1/11,1,
364,1.10.36.364,2/28/11,1,
366,1.10.36.366,2/23/11,1,
367,1.10.36.367,3/1/11,1,368
369,1.10.36.369,3/1/11,1,
370,1.10.36.370,3/3/11,1,
371,1.10.36.371,3/3/11,1,
372,1.10.36.372,3/4/11,1,
373,1.10.36.373,3/3/11,1,
374,1.10.36.374,3/3/11,1,
375,1.10.36.375,3/2/11,1,376
377,1.10.36.377,3/2/11,1,
378,1.10.36.378,3/2/11,1,
379,1.10.36.379,3/2/11,1,
38,1.10.36.38,2/2/11,1,
380,1.10.36.380,3/3/11,1,
381,1.10.36.381,3/3/11,1,
382,1.10.36.382,3/3/11,1,
384,1.10.36.384,3/3/11,1,
385,1.10.36.385,3/3/11,1,
386,1.10.36.386,3/4/11,1,
387,1.10.36.387,3/3/11,1,
389,1.10.36.389,3/4/11,1,
391,1.10.36.391,3/4/11,1,
392,1.10.36.392,3/4/11,1,
393,1.10.36.393,3/4/11,1,
394,1.10.36.394,3/4/11,1,
396,1.10.36.396,3/4/11,1,
397,1.10.36.397,3/4/11,1,
398,1.10.36.398,3/4/11,1,
399,1.10.36.399,3/4/11,1,
4,1.10.36.4,2/1/11,1,8
400,1.10.36.400,3/4/11,1,
401,1.10.36.401,3/4/11,1,
403,1.10.36.403,3/4/11,1,
405,1.10.36.405,3/7/11,1,
406,1.10.36.406,3/1/11,1,
407,1.10.36.407,2/24/11,1,
408,1.10.36.408,3/2/11,1,
409,1.10.36.409,3/2/11,1,
41,1.10.36.41,2/9/11,1,
410,1.10.36.410,3/2/11,1,
413,1.10.36.413,3/8/11,1,
414,1.10.36.414,3/8/11,1,
415,1.10.36.415,3/7/11,1,
416,1.10.36.416,3/7/11,1,
417,1.10.36.417,3/7/11,1,
418,1.10.36.418,3/7/11,1,
419,1.10.36.419,3/7/11,1,
42,1.10.36.42,2/1/11,1,
420,1.10.36.420,3/7/11,1,
421,1.10.36.421,3/7/11,1,
422,1.10.36.422,3/7/11,1,
423,1.10.36.423,3/8/11,1,
426,1.10.36.426,3/8/11,1,
427,1.10.36.427,3/8/11,1,
428,1.10.36.428,3/8/11,1,
429,1.10.36.429,2/8/11,1,
43,1.10.36.43,2/2/11,1,
430,1.10.36.430,3/8/11,1,
431,1.10.36.431,3/8/11,1,
432,1.10.36.432,3/8/11,1,
433,1.10.36.433,3/8/11,1,
434,1.10.36.434,3/8/11,1,
436,1.10.36.436,3/8/11,1,
437,1.10.36.437,3/8/11,1,
438,1.10.36.438,3/8/11,1,
439,1.10.36.439,3/8/11,1,
441,1.10.36.441,3/8/11,1,
444,1.10.36.444,3/9/11,1,
445,1.10.36.445,3/9/11,1,
446,1.10.36.446,3/9/11,1,
448,1.10.36.448,3/9/11,1,
448,1.10.36.448A,3/9/11,1,
449,1.10.36.449,3/9/11,1,
450,1.10.36.450,3/9/11,1,
451,1.10.36.451,3/9/11,1,
454,1.10.36.454,3/9/11,1,455
456,1.10.36.456,3/9/11,1,
459,1.10.36.459,3/10/11,1,
46,1.10.36.46,2/4/11,1,
461,1.10.36.461,3/9/11,1,
462,1.10.36.462,3/10/11,1,
463,1.10.36.463,3/9/11,1,
464,1.10.36.464,3/11/11,1,
465,1.10.36.465,3/9/11,1,
466,1.10.36.466,3/14/11,1,
468,1.10.36.468,3/11/11,1,
469,1.10.36.469,3/11/11,1,
47,1.10.36.47,2/4/11,1,
470,1.10.36.470,3/11/11,1,
474,1.10.36.474,3/9/11,1,
475,1.10.36.475,3/10/11,1,
476,1.10.36.476,3/9/11,1,
478,1.10.36.478,3/10/11,1,
48,1.10.36.48,2/3/11,1,
480,1.10.36.480,3/11/11,1,
481,1.10.36.481,3/10/11,1,
482,1.10.36.482,3/11/11,1,
483,1.10.36.483,3/14/11,1,
484,1.10.36.484,3/11/11,1,
49,1.10.36.49,2/4/11,1,
492,1.10.36.492,3/14/11,1,
493,1.10.36.493,3/14/11,1,
494,1.10.36.494,3/14/11,1,
497,1.10.36.497,3/15/11,1,
498,1.10.36.498,3/11/11,1,
5,1.10.36.5,2/2/11,1,
50,1.10.36.50,2/4/11,1,
500,1.10.36.500,3/15/11,1,
503,1.10.36.503,3/15/11,1,
506,1.10.36.506,3/14/11,1,
507,1.10.36.507,3/14/11,1,
508,1.10.36.508,2/22/11,1,
509,1.10.36.509,2/22/11,1,
509,1.10.36.509A,2/22/11,1,
51,1.10.36.51,2/4/11,1,
511,1.10.36.511,3/15/11,1,
512,1.10.36.512,3/17/11,1,
514,1.10.36.514,3/17/11,1,
515,1.10.36.515,3/17/11,1,
516,1.10.36.516,3/17/11,1,
517,1.10.36.517,3/17/11,1,
518,1.10.36.518,3/17/11,1,
519,1.10.36.519,3/17/11,1,
52,1.10.36.52,2/7/11,1,
520,1.10.36.520,2/14/11,1,
521,1.10.36.521,2/18/11,1,
522,1.10.36.522,2/16/11,1,
523,1.10.36.523,2/14/11,1,
525,1.10.36.525,3/18/11,1,
526,1.10.36.526,3/18/11,1,
528,1.10.36.528,3/17/11,1,
53,1.10.36.53,2/2/11,1,
530,1.10.36.530,3/18/11,1,535
531,1.10.36.531,3/18/11,1,
533,1.10.36.533,3/18/11,1,
534,1.10.36.534,3/18/11,1,
55,1.10.36.55,2/3/11,1,
56,1.10.36.56,2/4/11,1,
57,1.10.36.57,2/4/11,1,
59,1.10.36.59,2/3/11,1,
6,1.10.36.6,2/3/11,1,
60,1.10.36.60,2/7/11,1,
61,1.10.36.61,2/3/11,1,
62,1.10.36.62,2/3/11,1,
64,1.10.36.64,2/3/11,1,
65,1.10.36.65,2/3/11,1,
66,1.10.36.66,2/3/11,1,
68,1.10.36.68,2/3/11,1,
69,1.10.36.69,2/7/11,1,
7,1.10.36.7,2/9/11,1,
70,1.10.36.70,2/3/11,1,
71,1.10.36.71,2/3/11,1,
72,1.10.36.72,2/3/11,1,
73,1.10.36.73,2/4/11,1,
74,1.10.36.74,2/4/11,1,
76,1.10.36.76,2/4/11,1,
77,1.10.36.77,2/4/11,1,
78,1.10.36.78,2/7/11,1,
79,1.10.36.79,2/7/11,1,
81,1.10.36.81,2/4/11,1,
82,1.10.36.82,2/4/11,1,
84,1.10.36.84,2/7/11,1,
85,1.10.36.85,2/7/11,1,
87,1.10.36.87,2/4/11,1,
88,1.10.36.88,2/4/11,1,
89,1.10.36.89,2/7/11,1,
9,1.10.36.9,2/2/11,1,
90,1.10.36.90,2/9/11,1,
91,1.10.36.91,2/9/11,1,
92,1.10.36.92,2/10/11,1,
93,1.10.36.93,2/10/11,1,
94,1.10.36.94,2/4/11,1,
96,1.10.36.96,2/7/11,1,
97,1.10.36.97,2/7/11,1,
98,1.10.36.98,2/7/11,1,
